title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
rap,0.904,0.461,8,-4.349,1,0.164,0.0118,0.0,0.107,0.0794,148.045,audio_features,23L1gQJjtlZMrZPZvluyQe,spotify:track:23L1gQJjtlZMrZPZvluyQe,https://api.spotify.com/v1/tracks/23L1gQJjtlZMrZPZvluyQe,https://api.spotify.com/v1/audio-analysis/23L1gQJjtlZMrZPZvluyQe,148611,4
rap,0.731,0.667,7,-7.928,0,0.0815,0.134,0.0,0.114,0.485,123.042,audio_features,1xWkeSPhf3bZqHY7Ncz8vp,spotify:track:1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/tracks/1xWkeSPhf3bZqHY7Ncz8vp,https://api.spotify.com/v1/audio-analysis/1xWkeSPhf3bZqHY7Ncz8vp,144390,4
rap,0.73,0.729,10,-3.939,0,0.203,0.0602,0.0,0.3,0.885,93.159,audio_features,3bkpVSoNvBkvt9LJMFT5at,spotify:track:3bkpVSoNvBkvt9LJMFT5at,https://api.spotify.com/v1/tracks/3bkpVSoNvBkvt9LJMFT5at,https://api.spotify.com/v1/audio-analysis/3bkpVSoNvBkvt9LJMFT5at,150968,4
rap,0.678,0.483,1,-7.956,1,0.422,0.00361,0.0,0.109,0.12,160.156,audio_features,1hS8xbWKEifaf0VuFpIY69,spotify:track:1hS8xbWKEifaf0VuFpIY69,https://api.spotify.com/v1/tracks/1hS8xbWKEifaf0VuFpIY69,https://api.spotify.com/v1/audio-analysis/1hS8xbWKEifaf0VuFpIY69,148302,4
rap,0.803,0.649,9,-4.294,0,0.213,0.111,0.0,0.111,0.135,85.037,audio_features,6GoVUO5vla1JtUj2rq9Yl4,spotify:track:6GoVUO5vla1JtUj2rq9Yl4,https://api.spotify.com/v1/tracks/6GoVUO5vla1JtUj2rq9Yl4,https://api.spotify.com/v1/audio-analysis/6GoVUO5vla1JtUj2rq9Yl4,226360,4
rap,0.732,0.6,6,-9.057,0,0.241,0.00385,0.000114,0.112,0.436,167.973,audio_features,4muwDurKeVOB1WBjTVRWlD,spotify:track:4muwDurKeVOB1WBjTVRWlD,https://api.spotify.com/v1/tracks/4muwDurKeVOB1WBjTVRWlD,https://api.spotify.com/v1/audio-analysis/4muwDurKeVOB1WBjTVRWlD,160203,4
rap,0.773,0.607,10,-6.768,0,0.382,0.0354,0.0,0.111,0.279,155.026,audio_features,69ZBK01gsgWUnA55BEaAPu,spotify:track:69ZBK01gsgWUnA55BEaAPu,https://api.spotify.com/v1/tracks/69ZBK01gsgWUnA55BEaAPu,https://api.spotify.com/v1/audio-analysis/69ZBK01gsgWUnA55BEaAPu,225492,4
rap,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015,audio_features,1IzJxbARcQrOWMZgPw1PNj,spotify:track:1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/tracks/1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/audio-analysis/1IzJxbARcQrOWMZgPw1PNj,217610,4
rap,0.613,0.583,1,-10.042,0,0.159,0.0264,0.00338,0.138,0.249,159.997,audio_features,7jVMNHk15YGRHRXYFoCXK8,spotify:track:7jVMNHk15YGRHRXYFoCXK8,https://api.spotify.com/v1/tracks/7jVMNHk15YGRHRXYFoCXK8,https://api.spotify.com/v1/audio-analysis/7jVMNHk15YGRHRXYFoCXK8,204069,4
rap,0.634,0.484,2,-9.868,1,0.381,0.0745,0.0,0.192,0.298,164.012,audio_features,6JXJgBcTfcuiPAd0416sOB,spotify:track:6JXJgBcTfcuiPAd0416sOB,https://api.spotify.com/v1/tracks/6JXJgBcTfcuiPAd0416sOB,https://api.spotify.com/v1/audio-analysis/6JXJgBcTfcuiPAd0416sOB,179231,4
rap,0.611,0.483,11,-6.216,0,0.055,0.214,0.0,0.124,0.204,145.983,audio_features,39MK3d3fonIP8Mz9oHCTBB,spotify:track:39MK3d3fonIP8Mz9oHCTBB,https://api.spotify.com/v1/tracks/39MK3d3fonIP8Mz9oHCTBB,https://api.spotify.com/v1/audio-analysis/39MK3d3fonIP8Mz9oHCTBB,231747,4
rap,0.729,0.768,6,-7.012,0,0.133,0.0787,2.17e-06,0.107,0.553,148.08,audio_features,1xHcIJHIHwr2PUyTmFTWTy,spotify:track:1xHcIJHIHwr2PUyTmFTWTy,https://api.spotify.com/v1/tracks/1xHcIJHIHwr2PUyTmFTWTy,https://api.spotify.com/v1/audio-analysis/1xHcIJHIHwr2PUyTmFTWTy,146967,4
rap,0.783,0.609,6,-7.222,0,0.159,0.0576,8.54e-06,0.166,0.612,77.556,audio_features,2YIIpDEKJv6OUc7u9tVT7I,spotify:track:2YIIpDEKJv6OUc7u9tVT7I,https://api.spotify.com/v1/tracks/2YIIpDEKJv6OUc7u9tVT7I,https://api.spotify.com/v1/audio-analysis/2YIIpDEKJv6OUc7u9tVT7I,203164,4
rap,0.606,0.885,5,-4.431,0,0.301,0.106,0.0,0.21,0.642,87.869,audio_features,7cXlDCmulkI5UWLCtSjhRF,spotify:track:7cXlDCmulkI5UWLCtSjhRF,https://api.spotify.com/v1/tracks/7cXlDCmulkI5UWLCtSjhRF,https://api.spotify.com/v1/audio-analysis/7cXlDCmulkI5UWLCtSjhRF,232018,4
rap,0.75,0.614,1,-7.98,1,0.116,0.115,0.000392,0.227,0.487,143.037,audio_features,41s7nEKyANNfGaxRyMyFGI,spotify:track:41s7nEKyANNfGaxRyMyFGI,https://api.spotify.com/v1/tracks/41s7nEKyANNfGaxRyMyFGI,https://api.spotify.com/v1/audio-analysis/41s7nEKyANNfGaxRyMyFGI,150413,4
rap,0.807,0.761,1,-5.641,1,0.104,0.0104,3.6e-06,0.124,0.782,153.943,audio_features,11AsxhPhTYYIwLiE6bkA0v,spotify:track:11AsxhPhTYYIwLiE6bkA0v,https://api.spotify.com/v1/tracks/11AsxhPhTYYIwLiE6bkA0v,https://api.spotify.com/v1/audio-analysis/11AsxhPhTYYIwLiE6bkA0v,172974,4
rap,0.768,0.714,4,-6.914,0,0.294,0.00278,0.0,0.296,0.363,145.113,audio_features,0r75DNlHu4recmKUdZeMfG,spotify:track:0r75DNlHu4recmKUdZeMfG,https://api.spotify.com/v1/tracks/0r75DNlHu4recmKUdZeMfG,https://api.spotify.com/v1/audio-analysis/0r75DNlHu4recmKUdZeMfG,226413,4
rap,0.731,0.605,1,-5.01,1,0.19,0.067,7.7e-06,0.177,0.413,132.946,audio_features,41bmnQZoDMQdDh5zyomtW7,spotify:track:41bmnQZoDMQdDh5zyomtW7,https://api.spotify.com/v1/tracks/41bmnQZoDMQdDh5zyomtW7,https://api.spotify.com/v1/audio-analysis/41bmnQZoDMQdDh5zyomtW7,216704,4
rap,0.784,0.616,0,-7.159,1,0.0927,0.0042,0.00592,0.256,0.291,137.019,audio_features,2beD5W9IkefQ04IO39XF7w,spotify:track:2beD5W9IkefQ04IO39XF7w,https://api.spotify.com/v1/tracks/2beD5W9IkefQ04IO39XF7w,https://api.spotify.com/v1/audio-analysis/2beD5W9IkefQ04IO39XF7w,190133,4
rap,0.448,0.828,6,-5.941,0,0.0889,0.0131,0.00185,0.157,0.31,183.905,audio_features,6m63k9onxYHiugyMIy2jjg,spotify:track:6m63k9onxYHiugyMIy2jjg,https://api.spotify.com/v1/tracks/6m63k9onxYHiugyMIy2jjg,https://api.spotify.com/v1/audio-analysis/6m63k9onxYHiugyMIy2jjg,154040,4
rap,0.814,0.606,1,-6.378,1,0.243,0.0166,0.0,0.125,0.208,150.005,audio_features,1h6w4POXM2LfG4ZD4xUfZQ,spotify:track:1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/tracks/1h6w4POXM2LfG4ZD4xUfZQ,https://api.spotify.com/v1/audio-analysis/1h6w4POXM2LfG4ZD4xUfZQ,204800,4
